Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Text,Voice,VoiceVersion
Bg,class_a
CharacterOff
,,,,,,,伸ばされた手は、男子生徒のものだった。見上げると、そこには先ほど給水塔の上にいた生徒がいた
,佳代,,,,,,あなたは、さっきの……
CharacterOff
,男子生徒,,charaPos21
,yuuki,,charaPos22,,,,彼に感謝するんだね。彼が私をここへ連れてきたんだ

,男子生徒,,charaPos21,,,,いやー、会長が近くにいて助かりましたよ。けど、何で会長はこんなところに？
,yuuki,,charaPos22,,,,活があって道場まで行こうとしていた道すがらだったんだよ。丁度いいところに君が来てくれたのさ
,男子生徒,,charaPos21,,,,道場の道すがらって……会長、道場はグラウンドの真横じゃないですか。何で屋上近くの階段をうろうろしてるんです？
,男子生徒,,charaPos21,,,,おまけに会長のクラスって一階じゃなかったでしたっけ？
,yuuki,,charaPos22,,,,知らないのかい？　三階を経由してから一階に降りた方が出入り口には近いんだよ
,男子生徒,,charaPos21,,,,……会長。どんなねじれ空間ですか。ありえないくらいの方向音痴ですよ、それ
,,,,,,,わいのわいのと騒いでいる二人をぽかんと見つめながら、佳代は思う
,佳代,,,,,,（そっか、逃げた訳じゃなかったんだ。助けてくれたんだ……）

,yuuki,,charaPos22,,,,それじゃ、剣道部があるからこれで失礼するよ
,男子生徒,,charaPos21,,,,今度は迷わないでくださいよ、会長ー
CharacterOff

,男子生徒,,charaPos
,,,,,,,去っていく会長に手をふる男子生徒をぽーっと見つめる佳代
,,,,,,,もしかすると、もしかしなくても……。そこから先は思考にもならないもやもやとした何かが、佳代の中に生まれては消えていく
,,,,,,,それはつまり無自覚の何か。言葉にならないそんな気持ち
,,,,,,,私は実はアイドルでそういうのは禁止されていて、でもやっぱり大変だからそんなことに時間を割いてる暇はなくて、
,,,,,,,でもそれってやっぱりそういうことで……
,男子生徒,,charaPos,,,,ん、どうしたの？　立てない？
,佳代,,,,,,あ……いえ、立てます
,,,,,,,差し出されていた手を思い出して、慌ててつかみなおす佳代

,,,,,,,とはいえ、これが佳代と主人公の初めての出会い
,,,,,,,二人が出会ったのは、そんな屋上でのことだった

,佳代,,,,,,――ところで
,男子生徒,,charaPos,,,,ん、何？
,佳代,,,,,,何で屋上にいたんですか？　ここは立入禁止なのに？
,男子生徒,,charaPos,,,,…………えーと、それは
,佳代,,,,,,たぶん、あの不良が来るよりも前からいましたよね？　だってあなたが来たの、私は見てませんし
,男子生徒,,charaPos,,,,……あー。うん
,佳代,,,,,,もしかして……放課後になる前からここに？　いつから？　お昼休み？　え、だって授業は！？　もしかしてずっと寝てたんですか？
,男子生徒,,charaPos,,,,……あう

,,,,,,,脂汗がだらだら零れ落ちている男子生徒を前に、なんだかむかむかとした気持ちがこみ上げてくる佳代
,,,,,,,さっきまでのぽやぽやした感情とは正反対の、憤りのようなもの
,佳代,,,,,,信じられない！　学業は学生の本分です！　そこに正座なさい。私が根性叩き直してあげますっ！
,男子生徒,,charaPos,,,,…………えー
,佳代,,,,,,つべこべいわないっ。そもそもですね、学校というのは本来勉強をしに来るところで……

,,,,,,,お説教をしながら佳代は思う。さっきの感情はやっぱり何かの間違いだったのだと
,,,,,,,と同時に、佳代はこの目の前にいる不真面目な生徒が異様に気になって仕方がない
,,,,,,,――私の手でこの生徒をマジメで健全な男子生徒に仕立て上げたい
,,,,,,,何故だかそんな使命感が湧いてくる佳代

,,,,,,,こうして主人公は何かにつけて風紀委員の佳代から目をつけられるようになり、マジメな生活を強いられることになったのでした

StopScenario
